;;;;;
;;;;;
"VW Kurshistorie 24.12.2012 - 28.06.2013";;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;"VW Vorzugsaktie (Xetra)";;;;
"Datum";"Preis";"Volumen";"Eröffnungspreis";"Hoch";"Tief"
"2013-01-15";175.5;626859;175.95;177.05;174.65
"2013-01-14";175.85;685739;176.6;178.8;175.75
"2013-01-11";176.05;789924;172.9;176.5;171.7
"2013-01-10";173.3;767770;172.55;174.75;171.9
"2013-01-09";171.6;920514;173.75;174.7;170.5
"2013-01-08";174;725801;175.3;175.95;172.95
"2013-01-07";175.95;815870;177.8;177.8;175.45
"2013-01-04";178.85;494237;179.2;179.25;177.9
"2013-01-03";178.9;609492;179;179.6;176.9
"2013-01-02";179;1195904;176.05;180.4;175.6
"2012-12-28";172.15;421999;173.1;174.45;172.15
"2012-12-27";172.6;614110;171.85;173.5;170.3
